256 21.45%   1103.71%    718.02%  
128 23.26%   193.30%     221.24%  
64  25.06%   211.08%     678.24%  
32  30.07%   249.87%     693.44%  
16  40.04%   313.85%     743.02%  
8   41.73%   389.82%     622.47%  
4   43.99%   476.84%     527.12%  
2   52.79%   491.09%     327.27%  
1   331.32%  520.41%     279.70%  
